text,label,start_char,end_char,wikidata_qid,geonames_id,note
Derde Brief,F2_Expression,6,17,,,
Cassel,E53_Place,21,27,Q2865,2892518,
7 July 1816,E52_Time_Span,32,43,,,
eene halve dag,E52_Time_Span,100,114,,,
Paderborn,E53_Place,119,128,Q2971,2855745,
ryden,Mode_of_Transportation,146,151,,,
dien nagt,E52_Time_Span,184,193,,,
Warburg,E53_Place,210,217,Q968,2814153,
volgende avond,E52_Time_Span,243,257,,,
5 uuren,E52_Time_Span,258,265,,,
Paderborn,E53_Place,314,323,Q2971,2855745,
Cassel,E53_Place,404,410,Q2865,2892518,
reden,Mode_of_Transportation,460,465,,,
Donderdag,E52_Time_Span,470,479,,,
1 uur,E52_Time_Span,495,500,,,
Extrapost,Mode_of_Transportation,505,514,,,
Paderborn,E53_Place,519,528,Q2971,2855745,
Hoxenberg,E18_Physical_Thing,622,631,NIL,NIL,"probably archaic spelling for 'Haxterberg',  south of Paderborn. Not present in "
Paderborn,E53_Place,712,721,Q2971,2855745,
7 bergen,E18_Physical_Thing,830,838,NIL,NIL,
Dornhagen,E53_Place,961,970,Q1271329,2935704.0,
Grondsteinheim,E53_Place,1044,1058,Q1550705,2914314.0,
langen tyd,E52_Time_Span,1136,1146,,,
rytuig,Mode_of_Transportation,1166,1172,,,
reden,Mode_of_Transportation,1306,1311,,,
3½ uur,E52_Time_Span,1318,1324,,,
Lichtenau,E53_Place,1366,1375,Q183483,2878133,https://www.meyersgaz.org/place/20061025
Neuhaus,E53_Place,1443,1450,Q1339298,2865152,
Paderborn,E53_Place,1454,1463,Q2971,2855745,
Cassel,E53_Place,1635,1641,Q2865,2892518,
vijf vieren deel uur,E52_Time_Span,1728,1748,,,
zes paarden,Mode_of_Transportation,1778,1789,,,
4 paarden,Mode_of_Transportation,1838,1847,,,
Paderborn,E53_Place,1906,1915,Q2971,2855745,
6 paarden,Mode_of_Transportation,2127,2136,,,
wagen voor zeven personen,Mode_of_Transportation,2309,2334,,,
twee van vier,Mode_of_Transportation,2361,2374,,,Twee wagens voor vier personen
Munstersche wagen,Mode_of_Transportation,2431,2448,,,
vorige dag,E52_Time_Span,2507,2517,,,
Extrapost,Mode_of_Transportation,2625,2634,,,
reden,Mode_of_Transportation,2655,2660,,,
5 uur,E52_Time_Span,2674,2679,,,
wagen,Mode_of_Transportation,2696,2701,,,
koffers,E19_Physical_Object,2809,2816,,,
4 jonge paarden,Mode_of_Transportation,2867,2882,,,
met 4 paarden bespannen rytuig,Mode_of_Transportation,2951,2981,,,
wagen,Mode_of_Transportation,3099,3104,,,
hooge bergen,E18_Physical_Thing,3341,3353,NIL,NIL,
bergen,E18_Physical_Thing,3448,3454,NIL,NIL,
wagen,Mode_of_Transportation,3655,3660,,,
koffer,E19_Physical_Object,3752,3758,,,
Kleinenberg,E53_Place,3812,3823,Q1746571,2889463.0,
uitgestrekt bosch,E53_Place,3859,3876,,,
Hardehauserwoud,E53_Place,3900,3915,Q1775300,2910659,Hardehausen forest
klooster,E18_Physical_Thing,3933,3941,Q1775300,NIL,klooster hardehausen
Desenberg,E18_Physical_Thing,4047,4056,Q1200563,2937965.0,
een uur,E52_Time_Span,4057,4064,,,
Warburg,E53_Place,4071,4078,Q968,2814153,
8 uur,E52_Time_Span,4128,4133,,,
Ossendorf,E53_Place,4142,4151,Q2034601,2856859.0,
posthuis,E18_Physical_Thing,4202,4210,NIL,NIL,
Ocksendorf,E53_Place,4252,4262,Q2034601,2856859,Here tbe auhor describes how he mispronounced Ossendorf.... So should Ocksendorf
Ossendorf,E53_Place,4310,4319,Q2034601,2856859.0,
Ossen,E53_Place,4364,4369,Q2034601,2856859,
Ocksendorf,E53_Place,4373,4383,Q2034601,2856859,
Extrapost,Mode_of_Transportation,4448,4457,,,
postwagen,Mode_of_Transportation,4476,4485,,,
postwagen,Mode_of_Transportation,4694,4703,,,
avond,E52_Time_Span,4803,4808,,,
Warburg,E53_Place,4814,4821,Q968,2814153,
groot uur,E52_Time_Span,4827,4836,,,
wandelden,Mode_of_Transportation,4847,4856,,,
dien nagt,E52_Time_Span,5006,5015,,,
doorgereden,Mode_of_Transportation,5022,5033,,,
des morgens,E52_Time_Span,5036,5047,,,
Cassel,E53_Place,5056,5062,Q2865,2892518,
Warburg,E53_Place,5101,5108,Q968,2814153,
wandelingen,Mode_of_Transportation,5122,5133,,,
zeer goed rytuig en een span beste paarden,Mode_of_Transportation,5229,5271,,,
Gasthofe Desenburg,E18_Physical_Thing,5299,5317,NIL,NIL,
de volgende morgen,E52_Time_Span,5331,5349,,,
Warburg,E53_Place,5350,5357,Q968,2814153,
reden,Mode_of_Transportation,5361,5366,,,
Dalheim,E53_Place,5383,5390,Q1157899,2939319.0,
Desenberg,E18_Physical_Thing,5431,5440,Q1200563,2937965.0,
Desenberg,E18_Physical_Thing,5495,5504,Q1200563,2937965.0,
de geheele achtste brief der wandeling door een gedeelte van Duitschland 1 deel van bladz: 125-136.,F2_Expression,5513,5612,,,
Warburg,E53_Place,5701,5708,Q968,2814153,
Ehrings,E53_Place,5735,5742,Q1657965,2896615,Ihringshausen
Libenau,E53_Place,5746,5753,Q505551,2877980,
rydende,Mode_of_Transportation,5754,5761,,,
Ober,E53_Place,5779,5783,Q1738255,2859873,
Nider Lichtingen,E53_Place,5792,5808,Q1988004,2863153,
Hessisch grondgebied,E53_Place,5831,5851,Q20135,2905330,
reden,Mode_of_Transportation,5864,5869,,,
West-Uffelen,E53_Place,5874,5886,Q1678836,2810034,Westuffeln
Cassel,E53_Place,5920,5926,Q2865,2892518,
rytuig,Mode_of_Transportation,5975,5981,,,
Cassel,E53_Place,6010,6016,Q2865,2892518,
Meinbids,E53_Place,6184,6192,NIL,NIL,
Kalken,E53_Place,6196,6202,NIL,NIL,
wagen,Mode_of_Transportation,6310,6315,,,
Cassel,E53_Place,6379,6385,Q2865,2892518,
Hercules,E18_Physical_Thing,6408,6416,Q321252,,
octogoon,E18_Physical_Thing,6423,6431,NIL,NIL,Structure in the Bergpark Wilhelmshohe
Wilhelmhohe,E18_Physical_Thing,6439,6450,Q447441,3207202,
deezen middag,E52_Time_Span,6460,6473,,,
Cassel,E53_Place,6528,6534,Q2865,2892518,
Cassel,E53_Place,6568,6574,Q2865,2892518,
5 uur,E52_Time_Span,6595,6600,,,
logement de Kurfürst,E18_Physical_Thing,6637,6657,NIL,NIL,
Cassel,E53_Place,6709,6715,Q2865,2892518,
Cassel,E53_Place,6981,6987,Q2865,2892518,
Cassel,E53_Place,7124,7130,Q2865,2892518,
Museum Fridericianum,E18_Physical_Thing,7237,7257,Q449280,NIL,
schilderyen,E19_Physical_Object,7262,7273,,,
Parys,E53_Place,7283,7288,Q90,2988507,
