text,label,wikidata_qid,wikidata_label,geonames_id,QRank,in_qrank
Vaterlande,E53_Place,Q183,Duitsland,2921044,23409894,True
Franryk,E53_Place,Q142,Frankrijk,3017382,20818109,True
Parys,E53_Place,Q90,Parijs,2988507,9497805,True
Parys,E53_Place,Q90,Parijs,2988507,9497805,True
Parys,E53_Place,Q90,Parijs,2988507,9497805,True
Parys,E53_Place,Q90,Parijs,2988507,9497805,True
Heilige Land,E53_Place,Q48175,Heilige Land,NIL,1059447,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Cassel,E53_Place,Q2865,Kassel,2892518,826208,True
Göttingen,E53_Place,Q3033,Göttingen,2918632,743808,True
Göttingen,E53_Place,Q3033,Göttingen,2918632,743808,True
Groningen,E53_Place,Q749,Groningen,2755251,585162,True
Paderborn,E53_Place,Q2971,Paderborn,2855745,442637,True
Paderborn,E53_Place,Q2971,Paderborn,2855745,442637,True
Paderborn,E53_Place,Q2971,Paderborn,2855745,442637,True
Paderborn,E53_Place,Q2971,Paderborn,2855745,442637,True
Paderborn,E53_Place,Q2971,Paderborn,2855745,442637,True
Paderborn,E53_Place,Q2971,Paderborn,2855745,442637,True
Tivoli,E53_Place,Q159605,Tivoli,3165624,378068,True
Hessisch grondgebied,E53_Place,Q20135,Groothertogdom Hessen,2905330,327117,True
Scheveningen,E53_Place,Q837211,Scheveningen,2747599,220703,True
Hercules,E18_Physical_Thing,Q321252,"Hercules monument, Kassel",,132378,True
Wilhelmshöhe,E18_Physical_Thing,Q447441,Bergpark en Schloss Wilhelmshöhe,3207202,116580,True
Wilhelmhohe,E18_Physical_Thing,Q447441,Bergpark en Schloss Wilhelmshöhe,3207202,116580,True
Warburg,E53_Place,Q968,Warburg,2814153,104327,True
Warburg,E53_Place,Q968,Warburg,2814153,104327,True
Warburg,E53_Place,Q968,Warburg,2814153,104327,True
Warburg,E53_Place,Q968,Warburg,2814153,104327,True
Warburg,E53_Place,Q968,Warburg,2814153,104327,True
Warburg,E53_Place,Q968,Warburg,2814153,104327,True
Fulda,E53_Place,Q6434,Fulda,NIL,67401,True
vesting Rheinfels,E18_Physical_Thing,Q567643,Burg Rheinfels,2847637,47242,True
Lichtenau,E53_Place,Q183483,Lichtenau,2878133,19078,True
schoone gebouw,E18_Physical_Thing,Q2028171,Orangerie Kassel,NIL,15979,True
Orangerie,E18_Physical_Thing,Q2028171,Orangerie Kassel,NIL,15979,True
gebouw,E18_Physical_Thing,Q449280,Fridericianum,NIL,14168,True
museum,E18_Physical_Thing,Q449280,Fridericianum,NIL,14168,True
Museum Fridericianum,E18_Physical_Thing,Q449280,Fridericianum,NIL,14168,True
museum,E18_Physical_Thing,Q449280,Fridericianum,NIL,14168,True
Aue-Garten,E53_Place,Q878589,Karlsaue,2892914,10503,True
Aue,E53_Place,Q878589,Karlsaue,2892914,10503,True
Desenberg,E18_Physical_Thing,Q1200563,Desenberg,2937965.0,9807,True
Desenberg,E18_Physical_Thing,Q1200563,Desenberg,2937965.0,9807,True
Desenberg,E18_Physical_Thing,Q1200563,Desenberg,2937965.0,9807,True
Domkerk,E18_Physical_Thing,Q2776250,Martinuskerk,NIL,9396,True
Neuhaus,E53_Place,Q1339298,Schloß Neuhaus,2865152,7960,True
Libenau,E53_Place,Q505551,Liebenau,2877980,7936,True
Hardehauserwoud,E53_Place,Q1775300,Hardehausen Abbey,2910659,6859,True
klooster,E18_Physical_Thing,Q1775300,Hardehausen Abbey,NIL,6859,True
paleis Belle vue,E18_Physical_Thing,Q1541968,Bellevue Palace,NIL,4958,True
paleis Bellevue,E18_Physical_Thing,Q1541968,Bellevue Palace,NIL,4958,True
Frederikplein,E53_Place,Q1430309,Friedrichsplatz,11001975.0,4494,True
Frederiksplein,E53_Place,Q1430309,Friedrichsplatz,11001975,4494,True
Bagno della nimfa Egeria,E18_Physical_Thing,Q21208527,Nymphaeum of Egeria,NIL,3701,True
Koningsplein,E53_Place,Q1796444,Königsplatz,NIL,2756,True
Ehrings,E53_Place,Q1657965,Ihringshausen,2896615,2497,True
Kleinenberg,E53_Place,Q1746571,Kleinenberg,2889463.0,2323,True
Brüder,E18_Physical_Thing,Q15106410,Brüderkirche,NIL,2170,True
West-Uffelen,E53_Place,Q1678836,Westuffeln,2810034,1898,True
Dalheim,E53_Place,Q1157899,Dalheim,2939319.0,1541,True
Academiesche boekery,E18_Physical_Thing,Q200899,Universiteitsbibliotheek Groningen,NIL,1460,True
Ossen,E53_Place,Q2034601,Ossendorf,2856859,1434,True
Ocksendorf,E53_Place,Q2034601,Ossendorf,2856859,1434,True
Ossendorf,E53_Place,Q2034601,Ossendorf,2856859.0,1434,True
Ossendorf,E53_Place,Q2034601,Ossendorf,2856859.0,1434,True
Ocksendorf,E53_Place,Q2034601,Ossendorf,2856859,1434,True
Dornhagen,E53_Place,Q1271329,Dörnhagen,2935704.0,1374,True
Grondsteinheim,E53_Place,Q1550705,Grundsteinheim,2914314.0,1251,True
Het bad,E18_Physical_Thing,Q1902237,,NIL,1141,True
marmeren bad,E18_Physical_Thing,Q1902237,,NIL,1141,True
Ober,E53_Place,Q1738255,Oberlistingen,2859873,728,True
boven nieuw stad,E53_Place,Q15123313,Oberneustadt,NIL,633,True
boven nieuwstad,E53_Place,Q15123313,Oberneustadt,NIL,633,True
Nider Lichtingen,E53_Place,Q1988004,Niederlistingen,2863153,570,True
marmeren beeld van den landgraaf Karel,E18_Physical_Thing,Q117323794,,NIL,256,True
Leipsicher plein,E53_Place,Q100507321,Leipziger Platz,NIL,5,True
Karelsplein,E53_Place,Q100509241,,NIL,0,False
Comedie,E18_Physical_Thing,Q63039258,,NIL,0,False
