type,label,page,gold_text,pred_text,gold_start,gold_end,pred_start,pred_end
FN,F2_Expression,16,"
Derde Brief",,4,16,,
FN,E52_Time_Span,16,langen tyd,,1135,1145,,
FN,Mode_of_Transportation,16,zes paarden,,1777,1788,,
FP,E31_Document,16,,Derde Brief,,,5,16
FP,Mode_of_Transportation,16,,rondwandelen,,,440,452
FP,E53_Place,16,,stad,,,601,605
FP,E18_Physical_Thing,16,,eiken,,,1086,1091
FP,E53_Place,16,,vallei,,,1342,1348
FP,E53_Place,16,,eerste station,,,1548,1562
TP,E53_Place,16,"


Cassel",Cassel,17,26,20,26
TP,E52_Time_Span,16,7 July 1816,den 7 July 1816,31,42,27,42
TP,E52_Time_Span,16,eene halve dag,halve dag,99,113,104,113
TP,E53_Place,16,Paderborn,Paderborn,118,127,118,127
TP,Mode_of_Transportation,16,ryden,ryden,145,150,145,150
TP,E52_Time_Span,16,dien nagt,dien nagt,183,192,183,192
TP,E53_Place,16,Warburg,Warburg,209,216,209,216
TP,E52_Time_Span,16,volgende avond,volgende avond 5 uuren,242,256,242,264
TP,E52_Time_Span,16,5 uuren,volgende avond 5 uuren,257,264,242,264
TP,E53_Place,16,Paderborn,Paderborn,313,322,313,322
TP,E53_Place,16,Cassel,Cassel,403,409,403,409
TP,Mode_of_Transportation,16,reden,reden,459,464,459,464
TP,E52_Time_Span,16,Donderdag,Donderdag zynde den 4,469,478,469,490
TP,E52_Time_Span,16,1 uur,om 1 uur,494,499,491,499
TP,Mode_of_Transportation,16,Extrapost,Extrapost,504,513,504,513
TP,E53_Place,16,Paderborn,Paderborn,518,527,518,527
TP,E18_Physical_Thing,16,Hoxenberg,Hoxenberg,621,630,621,630
TP,E53_Place,16,Paderborn,Paderborn,711,720,711,720
TP,E18_Physical_Thing,16,7 bergen,7 bergen,829,837,829,837
TP,E53_Place,16,Dornhagen,Dornhagen,960,969,960,969
TP,E53_Place,16,Grondsteinheim,Grondsteinheim,1043,1057,1043,1057
TP,Mode_of_Transportation,16,rytuig,rytuig,1165,1171,1165,1171
TP,Mode_of_Transportation,16,reden,reden,1305,1310,1305,1310
TP,E52_Time_Span,16,3½ uur,om 3½ uur,1317,1323,1314,1323
TP,E53_Place,16,Lichtenau,Lichtenau,1365,1374,1365,1374
TP,E53_Place,16,Neuhaus,Neuhaus,1442,1449,1442,1449
TP,E53_Place,16,Paderborn,Paderborn,1453,1462,1453,1462
TP,E53_Place,16,Cassel,Cassel,1634,1640,1634,1640
