type,label,page,gold_text,pred_text,gold_start,gold_end,pred_start,pred_end
FN,F2_Expression,16,"
Derde Brief",,4,16,,
FN,E52_Time_Span,16,eene halve dag,,99,113,,
FN,Mode_of_Transportation,16,ryden,,145,150,,
FN,E52_Time_Span,16,dien nagt,,183,192,,
FN,E52_Time_Span,16,volgende avond,,242,256,,
FN,Mode_of_Transportation,16,reden,,459,464,,
FN,E52_Time_Span,16,langen tyd,,1135,1145,,
FN,Mode_of_Transportation,16,reden,,1305,1310,,
FN,E52_Time_Span,16,vijf vieren deel uur,,1727,1747,,
FP,E31_Document,16,,Derde Brief,,,5,16
FP,E52_Time_Span,16,,4,,,489,490
FP,E20_Biological_Object,16,,eiken,,,1086,1091
FP,E53_Place,16,,eerste station,,,1548,1562
TP,E53_Place,16,"


Cassel",Cassel,17,26,20,26
TP,E52_Time_Span,16,7 July 1816,7 July 1816,31,42,31,42
TP,E53_Place,16,Paderborn,Paderborn,118,127,118,127
TP,E53_Place,16,Warburg,Warburg,209,216,209,216
TP,E52_Time_Span,16,5 uuren,5 uuren,257,264,257,264
TP,E53_Place,16,Paderborn,Paderborn,313,322,313,322
TP,E53_Place,16,Cassel,Cassel,403,409,403,409
TP,E52_Time_Span,16,Donderdag,Donderdag,469,478,469,478
TP,E52_Time_Span,16,1 uur,1 uur,494,499,494,499
TP,Mode_of_Transportation,16,Extrapost,Extrapost,504,513,504,513
TP,E53_Place,16,Paderborn,Paderborn,518,527,518,527
TP,E18_Physical_Thing,16,Hoxenberg,Hoxenberg,621,630,621,630
TP,E53_Place,16,Paderborn,Paderborn,711,720,711,720
TP,E18_Physical_Thing,16,7 bergen,7 bergen,829,837,829,837
TP,E53_Place,16,Dornhagen,Dornhagen,960,969,960,969
TP,E53_Place,16,Grondsteinheim,Grondsteinheim,1043,1057,1043,1057
TP,Mode_of_Transportation,16,rytuig,rytuig,1165,1171,1165,1171
TP,E52_Time_Span,16,3½ uur,3½ uur,1317,1323,1317,1323
TP,E53_Place,16,Lichtenau,Lichtenau,1365,1374,1365,1374
TP,E53_Place,16,Neuhaus,Neuhaus,1442,1449,1442,1449
TP,E53_Place,16,Paderborn,Paderborn,1453,1462,1453,1462
TP,E53_Place,16,Cassel,Cassel,1634,1640,1634,1640
TP,Mode_of_Transportation,16,zes paarden,zes paarden,1777,1788,1777,1788
FN,Mode_of_Transportation,17,twee van vier,,551,564,,
FN,Mode_of_Transportation,17,reden,,845,850,,
FN,Mode_of_Transportation,17,wagen,,1289,1294,,
FN,E18_Physical_Thing,17,bergen,,1638,1644,,
FN,E52_Time_Span,17,een uur,,2247,2254,,
FP,E31_Document,17,,bewys,,,110,115
FP,E53_Place,17,,station,,,198,205
FP,E53_Place,17,,afgrond,,,1350,1357
TP,Mode_of_Transportation,17,4 paarden,4 paarden,28,37,28,37
TP,E53_Place,17,Paderborn,Paderborn,96,105,96,105
TP,Mode_of_Transportation,17,6 paarden,6 paarden,317,326,317,326
TP,Mode_of_Transportation,17,wagen voor zeven personen,wagen,499,524,499,504
TP,Mode_of_Transportation,17,Munstersche wagen,Munstersche wagen,621,638,621,638
TP,E52_Time_Span,17,vorige dag,vorige dag,697,707,697,707
TP,Mode_of_Transportation,17,Extrapost,Extrapost,815,824,815,824
TP,E52_Time_Span,17,5 uur,5 uur,864,869,864,869
TP,Mode_of_Transportation,17,wagen,wagen,886,891,886,891
TP,E19_Physical_Object,17,koffers,koffers,999,1006,999,1006
TP,Mode_of_Transportation,17,4 jonge paarden,4 jonge paarden,1057,1072,1057,1072
TP,Mode_of_Transportation,17,met 4 paarden bespannen rytuig,rytuig,1141,1171,1165,1171
TP,E18_Physical_Thing,17,hooge bergen,bergen,1531,1543,1537,1543
TP,Mode_of_Transportation,17,wagen,wagen,1845,1850,1845,1850
TP,E19_Physical_Object,17,koffer,koffer,1942,1948,1942,1948
TP,E53_Place,17,Kleinenberg,Kleinenberg,2002,2013,2002,2013
TP,E53_Place,17,uitgestrekt bosch,uitgestrekt bosch,2049,2066,2049,2066
TP,E53_Place,17,Hardehauserwoud,Hardehauserwoud,2090,2105,2090,2105
TP,E18_Physical_Thing,17,klooster,klooster,2123,2131,2123,2131
TP,E18_Physical_Thing,17,Desenberg,Desenberg,2237,2246,2237,2246
TP,E53_Place,17,Warburg,Warburg,2261,2268,2261,2268
TP,E52_Time_Span,17,8 uur,uur,2318,2323,2320,2323
FN,Mode_of_Transportation,18,postwagen,,557,566,,
FN,E52_Time_Span,18,avond,,666,671,,
FN,E52_Time_Span,18,groot uur,,690,699,,
FN,Mode_of_Transportation,18,wandelden,,710,719,,
FN,Mode_of_Transportation,18,doorgereden,,885,896,,
FN,E52_Time_Span,18,des morgens,,899,910,,
FN,Mode_of_Transportation,18,wandelingen,,985,996,,
FN,E52_Time_Span,18,de volgende morgen,,1194,1212,,
FN,Mode_of_Transportation,18,reden,,1224,1229,,
FN,E18_Physical_Thing,18,Desenberg,,1358,1367,,
FN,F2_Expression,18,de geheele achtste brief der wandeling door een gedeelte van Duitschland 1 deel van bladz: 125-136,,1376,1474,,
FN,Mode_of_Transportation,18,rydende,,1617,1624,,
FN,Mode_of_Transportation,18,reden,,1727,1732,,
FN,E53_Place,18,Cassel,,1873,1879,,
FN,E18_Physical_Thing,18,Wilhelmhohe,,2302,2313,,
