type,label,page,gold_text,pred_text,gold_start,gold_end,pred_start,pred_end
FN,E19_Physical_Thing,16,Hoxenberg,,621,630,,
FP,E53_Place,16,,Hoxenberg,,,621,630
TP,E53_Place,16,Cassel,Cassel,20,26,20,26
TP,E53_Place,16,Paderborn,Paderborn,118,127,118,127
TP,E53_Place,16,Warburg,Warburg,209,216,209,216
TP,E53_Place,16,Paderborn,Paderborn,313,322,313,322
TP,E53_Place,16,Cassel,Cassel,403,409,403,409
TP,E53_Place,16,Paderborn,Paderborn,518,527,518,527
TP,E53_Place,16,Paderborn,Paderborn,711,720,711,720
TP,E53_Place,16,Dornhagen,Dornhagen,960,969,960,969
TP,E53_Place,16,Grondsteinheim,Grondsteinheim,1043,1057,1043,1057
TP,E53_Place,16,Lichtenau,Lichtenau,1365,1374,1365,1374
TP,E53_Place,16,Neuhaus,Neuhaus,1442,1449,1442,1449
TP,E53_Place,16,Paderborn,Paderborn,1453,1462,1453,1462
TP,E53_Place,16,Cassel,Cassel,1634,1640,1634,1640
FN,E19_Physical_Thing,17,Hardehauserwoud,,2090,2105,,
FN,E19_Physical_Thing,17,klooster,,2123,2131,,
FP,E53_Place,17,,Hardehauserwoud,,,2090,2105
TP,E53_Place,17,Paderborn,Paderborn,96,105,96,105
TP,E53_Place,17,Kleinenberg,Kleinenberg,2002,2013,2002,2013
TP,E19_Physical_Thing,17,Desenberg,Desenberg,2237,2246,2237,2246
TP,E53_Place,17,Warburg,Warburg,2261,2268,2261,2268
FN,E19_Physical_Thing,18,Desenberg,,1294,1303,,
FN,E19_Physical_Thing,18,Desenberg,,1358,1367,,
FN,E19_Physical_Thing,18,Wilhelmhohe,,2302,2313,,
FP,E53_Place,18,,Desenberg,,,1294,1303
FP,E53_Place,18,,Desenberg,,,1358,1367
FP,E53_Place,18,,Duitschland,,,1437,1448
FP,E53_Place,18,,Wilhelmhohe,,,2302,2313
TP,E53_Place,18,Ossendorf,Ossendorf,5,14,5,14
TP,E53_Place,18,Ocksendorf,Ocksendorf,115,125,115,125
