source_text,model,temperature,think_mode,inference_type,datetime,duration_seconds,fine_macro_f1,fine_micro_f1,thru_f1,to_f1,from_f1,in_f1,near_f1,no_rel_f1,binary_json_p,binary_json_r,binary_json_f1,binary_json_accuracy,binary_rdf_p,binary_rdf_r,binary_rdf_f1,binary_rdf_accuracy,rdf_entities,rdf_dropped
1816_el_gs,gemma4_31b,0.0,default,cloud,2026-06-29 11:38:56,73.8,0.642,0.574,0.444,0.727,0.667,0.625,0.34,0.637,0.929,0.73,0.818,0.757,1.0,0.327,0.492,0.431,116,0
1816_el_gs,deepseek-v4-pro,0.0,default,cloud,2026-06-29 11:38:56,345.6,0.593,0.609,0.56,0.25,0.667,0.683,0.379,0.675,0.879,0.921,0.899,0.846,0.985,0.653,0.785,0.698,116,0
1816_el_gs,deepseek-v4-flash,0.0,default,cloud,2026-06-29 11:38:57,208.9,0.484,0.568,0.5,0,0.4,0.641,0.316,0.667,0.893,0.865,0.879,0.822,1.0,0.439,0.61,0.526,116,0
1816_el_gs,mistral-large-3_675b,0.0,default,cloud,2026-06-29 11:38:57,161.6,0.583,0.615,0.414,0.222,0.667,0.712,0.275,0.742,0.939,0.857,0.896,0.852,1.0,0.357,0.526,0.457,116,0
1816_el_gs,qwen3.5_397b,0.0,default,cloud,2026-06-29 11:38:57,79.9,0.521,0.598,0.421,0.2,0.571,0.709,0.364,0.629,0.878,0.857,0.867,0.805,1.0,0.245,0.393,0.362,116,0
1816_el_gs,kimi-k2.7-code,0.0,default,cloud,2026-06-29 11:38:58,419.1,0.508,0.515,0.545,0,0.667,0.566,0.373,0.548,0.955,0.5,0.656,0.609,1.0,0.418,0.59,0.509,116,0
1816_el_gs,glm-5.1,0.0,default,cloud,2026-06-29 11:38:58,620.6,0.68,0.686,0.435,0.909,0.571,0.748,0.357,0.824,0.991,0.865,0.924,0.893,1.0,0.551,0.711,0.621,116,0
1816_el_gs,glm-5.2,0.0,default,cloud,2026-06-29 11:38:59,750.2,0.663,0.574,0.5,0.909,0.667,0.61,0.333,0.627,0.9,0.786,0.839,0.775,1.0,0.449,0.62,0.534,116,0
1816_el_gs,deepseek-v4-pro,0.0,default,cloud,2026-06-29 16:03:47,345.6,0.593,0.609,0.56,0.25,0.667,0.683,0.379,0.675,0.879,0.921,0.899,0.846,0.985,0.653,0.785,0.698,116,0
dsp_before,deepseek-v4-flash,0.0,default,cloud,2026-06-29 16:04:14,345.6,0.593,0.609,0.56,0.25,0.667,0.683,0.379,0.675,0.879,0.921,0.899,0.846,0.985,0.653,0.785,0.698,116,0
dsp_before,deepseek-v4-flash,0.0,default,cloud,2026-06-29 16:04:49,345.6,0.593,0.609,0.56,0.25,0.667,0.683,0.379,0.675,0.879,0.921,0.899,0.846,0.985,0.653,0.785,0.698,116,0
1816_el_gs,deepseek-v4-pro,0.0,default,cloud,2026-06-29 16:04:50,345.6,0.593,0.609,0.56,0.25,0.667,0.683,0.379,0.675,0.879,0.921,0.899,0.846,0.985,0.653,0.785,0.698,116,0
dsp_before,deepseek-v4-flash,0.0,default,cloud,2026-06-29 16:05:14,345.6,0.593,0.609,0.56,0.25,0.667,0.683,0.379,0.675,0.879,0.921,0.899,0.846,0.985,0.653,0.785,0.698,116,0
1816_el_gs,deepseek-v4-pro,0.0,default,cloud,2026-06-29 16:05:14,345.6,0.593,0.609,0.56,0.25,0.667,0.683,0.379,0.675,0.879,0.921,0.899,0.846,0.985,0.653,0.785,0.698,116,0
dsp_before,deepseek-v4-flash,0.0,default,cloud,2026-06-29 16:05:34,345.6,0.593,0.609,0.56,0.25,0.667,0.683,0.379,0.675,0.879,0.921,0.899,0.846,0.985,0.653,0.785,0.698,116,0
1816_el_gs,deepseek-v4-pro,0.0,default,cloud,2026-06-29 16:05:35,345.6,0.593,0.609,0.56,0.25,0.667,0.683,0.379,0.675,0.879,0.921,0.899,0.846,0.985,0.653,0.785,0.698,116,0
